season,team,wins,losses,net_rank,seed,region
2008,American,0.0,3.0,91,15,
2008,Arizona,21.0,13.0,37,10,
2008,Arkansas,13.0,8.0,31,9,
2008,Austin Peay,0.0,2.0,84,15,
2008,BYU,5.0,9.0,25,8,
2008,Baylor,21.0,12.0,43,11,
2008,Belmont,0.0,6.0,79,15,
2008,Boise St.,0.0,3.0,87,14,
2008,Butler,17.0,9.0,17,7,
2008,Cal St. Fullerton,0.0,3.0,80,14,
2008,Clemson,5.0,8.0,19,5,
2008,Connecticut,30.0,7.0,18,4,
2008,Coppin St.,,,228,16,
2008,Cornell,2.0,3.0,65,14,
2008,Davidson,3.0,6.0,35,10,
2008,Drake,1.0,5.0,10,5,
2008,Duke,41.0,14.0,7,2,
2008,George Mason,1.0,2.0,61,12,
2008,Georgetown,3.0,7.0,8,2,
2008,Georgia,0.0,4.0,98,14,
2008,Gonzaga,35.0,17.0,30,7,
2008,Indiana,7.0,7.0,22,8,
2008,Kansas,41.0,15.0,5,1,
2008,Kansas St.,12.0,10.0,50,11,
2008,Kent St.,0.0,3.0,21,9,
2008,Kentucky,34.0,13.0,57,11,
2008,Louisville,22.0,10.0,13,3,
2008,Marquette,12.0,12.0,20,6,
2008,Memphis,10.0,9.0,3,1,
2008,Miami FL,12.0,7.0,34,7,
2008,Michigan St.,35.0,16.0,16,5,
2008,Mississippi St.,1.0,5.0,40,8,
2008,Mississippi Valley St.,0.0,1.0,223,16,
2008,Mount St. Mary's,0.0,3.0,159,16,
2008,North Carolina,41.0,13.0,2,1,
2008,Notre Dame,10.0,9.0,26,5,
2008,Oklahoma,12.0,10.0,27,6,
2008,Oral Roberts,2.0,3.0,53,13,
2008,Oregon,17.0,10.0,58,9,
2008,Pittsburgh,8.0,8.0,15,4,
2008,Portland St.,0.0,2.0,90,16,
2008,Purdue,23.0,15.0,45,6,
2008,Saint Joseph's,1.0,3.0,44,11,
2008,Saint Mary's,6.0,10.0,36,10,
2008,San Diego,1.0,1.0,94,13,
2008,Siena,2.0,3.0,66,13,
2008,South Alabama,0.0,1.0,38,10,
2008,Stanford,4.0,2.0,14,3,
2008,Temple,2.0,7.0,47,12,
2008,Tennessee,19.0,12.0,1,2,
2008,Texas,11.0,13.0,6,2,
2008,Texas A&M,9.0,9.0,41,9,
2008,UCLA,21.0,11.0,4,1,
2008,UMBC,1.0,2.0,88,15,
2008,UNLV,1.0,5.0,24,8,
2008,USC,5.0,7.0,28,6,
2008,UT Arlington,0.0,1.0,147,16,
2008,Vanderbilt,1.0,6.0,12,4,
2008,Villanova,29.0,11.0,51,12,
2008,Washington St.,3.0,2.0,23,4,
2008,West Virginia,14.0,11.0,29,7,
2008,Western Kentucky,3.0,5.0,39,12,
2008,Winthrop,0.0,3.0,108,13,
2008,Wisconsin,24.0,15.0,11,3,
2008,Xavier,18.0,11.0,9,3,
2009,Akron,0.0,6.0,99,13,
2009,Alabama St.,0.0,1.0,179,16,
2009,American,0.0,3.0,73,14,
2009,Arizona,21.0,13.0,62,12,
2009,Arizona St.,1.0,4.0,31,6,
2009,BYU,5.0,9.0,29,8,
2009,Binghamton,0.0,1.0,88,15,
2009,Boston College,0.0,1.0,60,7,
2009,Butler,17.0,9.0,24,9,
2009,Cal St. Northridge,0.0,1.0,127,15,
2009,California,2.0,4.0,39,7,
2009,Chattanooga,0.0,3.0,174,16,
2009,Clemson,5.0,8.0,28,7,
2009,Cleveland St.,1.0,2.0,52,13,
2009,Connecticut,30.0,7.0,8,1,
2009,Cornell,2.0,3.0,115,14,
2009,Dayton,6.0,6.0,27,11,
2009,Duke,41.0,14.0,1,2,
2009,East Tennessee St.,0.0,3.0,116,16,
2009,Florida St.,11.0,8.0,15,5,
2009,Gonzaga,35.0,17.0,26,4,
2009,Illinois,8.0,8.0,22,5,
2009,Kansas,41.0,15.0,11,3,
2009,LSU,4.0,5.0,37,8,
2009,Louisville,22.0,10.0,4,1,
2009,Marquette,12.0,12.0,35,6,
2009,Maryland,10.0,9.0,55,10,
2009,Memphis,10.0,9.0,7,2,
2009,Michigan,26.0,12.0,44,10,
2009,Michigan St.,35.0,16.0,6,2,
2009,Minnesota,2.0,5.0,42,10,
2009,Mississippi St.,1.0,5.0,63,13,
2009,Missouri,5.0,9.0,10,3,
2009,Morehead St.,1.0,4.0,141,16,
2009,Morgan St.,0.0,2.0,130,15,
2009,North Carolina,41.0,13.0,3,1,
2009,North Dakota St.,1.0,4.0,87,14,
2009,Northern Iowa,4.0,4.0,59,12,
2009,Ohio St.,15.0,11.0,32,8,
2009,Oklahoma,12.0,10.0,5,2,
2009,Oklahoma St.,2.0,7.0,19,8,
2009,Pittsburgh,8.0,8.0,2,1,
2009,Portland St.,0.0,2.0,113,13,
2009,Purdue,23.0,15.0,20,5,
2009,Radford,0.0,2.0,132,16,
2009,Robert Morris,0.0,4.0,109,15,
2009,Siena,2.0,3.0,18,9,
2009,Stephen F. Austin,2.0,5.0,74,14,
2009,Syracuse,21.0,10.0,12,3,
2009,Temple,2.0,7.0,30,11,
2009,Tennessee,19.0,12.0,25,9,
2009,Texas,11.0,13.0,41,7,
2009,Texas A&M,9.0,9.0,36,9,
2009,UCLA,21.0,11.0,33,6,
2009,USC,5.0,7.0,38,10,
2009,Utah,3.0,3.0,9,5,
2009,Utah St.,1.0,8.0,23,11,
2009,VCU,7.0,12.0,50,11,
2009,Villanova,29.0,11.0,13,3,
2009,Wake Forest,1.0,2.0,16,4,
2009,Washington,5.0,4.0,14,4,
2009,West Virginia,14.0,11.0,21,6,
2009,Western Kentucky,3.0,5.0,43,12,
2009,Wisconsin,24.0,15.0,45,12,
2009,Xavier,18.0,11.0,17,4,
2010,Arkansas Pine Bluff,0.0,1.0,183,16,
2010,BYU,5.0,9.0,23,7,
2010,Baylor,21.0,12.0,9,3,
2010,Butler,17.0,9.0,12,5,
2010,California,2.0,4.0,20,8,
2010,Clemson,5.0,8.0,34,7,
2010,Cornell,2.0,3.0,46,12,
2010,Duke,41.0,14.0,3,1,
2010,East Tennessee St.,0.0,3.0,121,16,
2010,Florida,25.0,10.0,56,10,
2010,Florida St.,11.0,8.0,42,9,
2010,Georgetown,3.0,7.0,7,3,
2010,Georgia Tech,1.0,2.0,33,10,
2010,Gonzaga,35.0,17.0,36,8,
2010,Houston,19.0,8.0,110,13,
2010,Kansas,41.0,15.0,1,1,
2010,Kansas St.,12.0,10.0,6,2,
2010,Kentucky,34.0,13.0,2,1,
2010,Lehigh,1.0,2.0,152,16,
2010,Louisville,22.0,10.0,37,9,
2010,Marquette,12.0,12.0,50,6,
2010,Maryland,10.0,9.0,24,4,
2010,Michigan St.,35.0,16.0,28,5,
2010,Minnesota,2.0,5.0,62,11,
2010,Missouri,5.0,9.0,44,10,
2010,Montana,0.0,6.0,97,14,
2010,Morgan St.,0.0,2.0,103,15,
2010,Murray St.,4.0,5.0,57,13,
2010,New Mexico,3.0,6.0,10,3,
2010,New Mexico St.,1.0,9.0,51,12,
2010,North Texas,1.0,2.0,104,15,
2010,Northern Iowa,4.0,4.0,17,9,
2010,Notre Dame,10.0,9.0,49,6,
2010,Oakland,1.0,3.0,52,14,
2010,Ohio,4.0,3.0,95,14,
2010,Ohio St.,15.0,11.0,22,2,
2010,Oklahoma St.,2.0,7.0,32,7,
2010,Old Dominion,1.0,3.0,27,11,
2010,Pittsburgh,8.0,8.0,15,3,
2010,Purdue,23.0,15.0,16,4,
2010,Richmond,3.0,3.0,25,7,
2010,Robert Morris,0.0,4.0,129,15,
2010,Saint Mary's,6.0,10.0,35,10,
2010,Sam Houston St.,0.0,1.0,70,14,
2010,San Diego St.,13.0,11.0,18,11,
2010,Siena,2.0,3.0,31,13,
2010,Syracuse,21.0,10.0,5,1,
2010,Temple,2.0,7.0,8,5,
2010,Tennessee,19.0,12.0,14,6,
2010,Texas,11.0,13.0,29,8,
2010,Texas A&M,9.0,9.0,13,5,
2010,UC Santa Barbara,0.0,4.0,94,15,
2010,UNLV,1.0,5.0,48,8,
2010,UTEP,0.0,1.0,38,12,
2010,Utah St.,1.0,8.0,30,12,
2010,Vanderbilt,1.0,6.0,26,4,
2010,Vermont,0.0,7.0,118,16,
2010,Villanova,29.0,11.0,11,2,
2010,Wake Forest,1.0,2.0,39,9,
2010,Washington,5.0,4.0,41,11,
2010,West Virginia,14.0,11.0,4,2,
2010,Winthrop,0.0,3.0,160,16,
2010,Wisconsin,24.0,15.0,21,4,
2010,Wofford,1.0,6.0,69,13,
2010,Xavier,18.0,11.0,19,6,
2011,Akron,0.0,6.0,107,15,
2011,Alabama St.,0.0,1.0,257,16,
2011,Arizona,21.0,13.0,19,5,
2011,BYU,5.0,9.0,5,3,
2011,Belmont,0.0,6.0,51,13,
2011,Boston University,0.0,1.0,129,16,
2011,Bucknell,0.0,4.0,79,14,
2011,Butler,17.0,9.0,33,8,
2011,Cincinnati,6.0,9.0,36,6,
2011,Clemson,5.0,8.0,57,12,
2011,Connecticut,30.0,7.0,14,3,
2011,Duke,41.0,14.0,4,1,
2011,Florida,25.0,10.0,8,2,
2011,Florida St.,11.0,8.0,55,10,
2011,George Mason,1.0,2.0,24,8,
2011,Georgetown,3.0,7.0,13,6,
2011,Georgia,0.0,4.0,47,10,
2011,Gonzaga,35.0,17.0,56,11,
2011,Hampton,0.0,3.0,153,16,
2011,Illinois,8.0,8.0,48,9,
2011,Indiana St.,0.0,1.0,84,14,
2011,Kansas,41.0,15.0,1,1,
2011,Kansas St.,12.0,10.0,23,5,
2011,Kentucky,34.0,13.0,7,4,
2011,LIU Brooklyn,0.0,2.0,75,15,
2011,Little Rock,1.0,1.0,188,16,
2011,Louisville,22.0,10.0,17,4,
2011,Marquette,12.0,12.0,64,11,
2011,Memphis,10.0,9.0,28,12,
2011,Michigan,26.0,12.0,52,8,
2011,Michigan St.,35.0,16.0,45,10,
2011,Missouri,5.0,9.0,37,11,
2011,Morehead St.,1.0,4.0,77,13,
2011,North Carolina,41.0,13.0,6,2,
2011,Northern Colorado,0.0,1.0,99,15,
2011,Notre Dame,10.0,9.0,9,2,
2011,Oakland,1.0,3.0,53,13,
2011,Ohio St.,15.0,11.0,2,1,
2011,Old Dominion,1.0,3.0,20,9,
2011,Penn St.,1.0,2.0,39,10,
2011,Pittsburgh,8.0,8.0,10,1,
2011,Princeton,2.0,3.0,40,13,
2011,Purdue,23.0,15.0,12,3,
2011,Richmond,3.0,3.0,41,12,
2011,Saint Peter's,3.0,3.0,92,14,
2011,San Diego St.,13.0,11.0,3,2,
2011,St. John's,1.0,3.0,26,6,
2011,Syracuse,21.0,10.0,18,3,
2011,Temple,2.0,7.0,30,7,
2011,Tennessee,19.0,12.0,34,9,
2011,Texas,11.0,13.0,11,4,
2011,Texas A&M,9.0,9.0,29,7,
2011,UAB,1.0,3.0,31,12,
2011,UC Santa Barbara,0.0,4.0,157,15,
2011,UCLA,21.0,11.0,44,7,
2011,UNC Asheville,0.0,4.0,147,16,
2011,UNLV,1.0,5.0,25,8,
2011,USC,5.0,7.0,67,11,
2011,UTSA,0.0,1.0,194,16,
2011,Utah St.,1.0,8.0,15,12,
2011,VCU,7.0,12.0,49,11,
2011,Vanderbilt,1.0,6.0,27,5,
2011,Villanova,29.0,11.0,38,9,
2011,Washington,5.0,4.0,32,7,
2011,West Virginia,14.0,11.0,21,5,
2011,Wisconsin,24.0,15.0,16,4,
2011,Wofford,1.0,6.0,109,14,
2011,Xavier,18.0,11.0,22,6,
2012,Alabama,12.0,7.0,36,9,
2012,BYU,5.0,9.0,45,14,
2012,Baylor,21.0,12.0,8,3,
2012,Belmont,0.0,6.0,58,14,
2012,California,2.0,4.0,37,12,
2012,Cincinnati,6.0,9.0,42,6,
2012,Colorado,3.0,6.0,62,11,
2012,Colorado St.,2.0,5.0,29,11,
2012,Connecticut,30.0,7.0,32,9,
2012,Creighton,12.0,10.0,24,8,
2012,Davidson,3.0,6.0,64,13,
2012,Detroit,0.0,1.0,125,15,
2012,Duke,41.0,14.0,5,2,
2012,Florida,25.0,10.0,30,7,
2012,Florida St.,11.0,8.0,11,3,
2012,Georgetown,3.0,7.0,15,3,
2012,Gonzaga,35.0,17.0,25,7,
2012,Harvard,2.0,4.0,35,12,
2012,Indiana,7.0,7.0,17,4,
2012,Iona,0.0,7.0,40,14,
2012,Iowa St.,12.0,11.0,33,8,
2012,Kansas,41.0,15.0,6,2,
2012,Kansas St.,12.0,10.0,48,8,
2012,Kentucky,34.0,13.0,2,1,
2012,LIU Brooklyn,0.0,2.0,80,16,
2012,Lamar,,,108,16,
2012,Lehigh,1.0,2.0,91,15,
2012,Long Beach St.,0.0,2.0,34,12,
2012,Louisville,22.0,10.0,14,4,
2012,Loyola MD,0.0,1.0,78,15,
2012,Marquette,12.0,12.0,9,3,
2012,Memphis,10.0,9.0,16,8,
2012,Michigan,26.0,12.0,13,4,
2012,Michigan St.,35.0,16.0,3,1,
2012,Mississippi Valley St.,0.0,1.0,144,16,
2012,Missouri,5.0,9.0,10,2,
2012,Montana,0.0,6.0,74,13,
2012,Murray St.,4.0,5.0,22,6,
2012,New Mexico,3.0,6.0,27,5,
2012,New Mexico St.,1.0,9.0,59,13,
2012,Norfolk St.,1.0,4.0,128,15,
2012,North Carolina,41.0,13.0,4,1,
2012,North Carolina St.,8.0,7.0,49,11,
2012,Notre Dame,10.0,9.0,39,7,
2012,Ohio,4.0,3.0,46,13,
2012,Ohio St.,15.0,11.0,7,2,
2012,Purdue,23.0,15.0,47,10,
2012,Saint Louis,3.0,4.0,31,9,
2012,Saint Mary's,6.0,10.0,28,7,
2012,San Diego St.,13.0,11.0,26,6,
2012,South Dakota St.,0.0,7.0,43,14,
2012,South Florida,1.0,1.0,52,12,
2012,Southern Miss,0.0,1.0,21,9,
2012,St. Bonaventure,0.0,3.0,72,14,
2012,Syracuse,21.0,10.0,1,1,
2012,Temple,2.0,7.0,20,5,
2012,Texas,11.0,13.0,50,11,
2012,UNC Asheville,0.0,4.0,104,16,
2012,UNLV,1.0,5.0,18,6,
2012,VCU,7.0,12.0,38,12,
2012,Vanderbilt,1.0,6.0,19,5,
2012,Vermont,0.0,7.0,135,16,
2012,Virginia,13.0,8.0,53,10,
2012,West Virginia,14.0,11.0,57,10,
2012,Western Kentucky,3.0,5.0,189,16,
2012,Wichita St.,9.0,7.0,12,5,
2012,Wisconsin,24.0,15.0,23,4,
2012,Xavier,18.0,11.0,41,10,
2013,Akron,0.0,6.0,42,12,
2013,Albany,0.0,3.0,131,15,
2013,Arizona,21.0,13.0,15,6,
2013,Belmont,0.0,6.0,19,11,
2013,Boise St.,0.0,3.0,44,13,
2013,Bucknell,0.0,4.0,51,11,
2013,Butler,17.0,9.0,22,6,
2013,California,2.0,4.0,54,12,
2013,Cincinnati,6.0,9.0,50,10,
2013,Colorado,3.0,6.0,38,10,
2013,Colorado St.,2.0,5.0,18,8,
2013,Creighton,12.0,10.0,25,7,
2013,Davidson,3.0,6.0,61,14,
2013,Duke,41.0,14.0,1,2,
2013,Florida,25.0,10.0,7,3,
2013,Florida Gulf Coast,2.0,3.0,93,15,
2013,Georgetown,3.0,7.0,11,2,
2013,Gonzaga,35.0,17.0,6,1,
2013,Harvard,2.0,4.0,92,14,
2013,Illinois,8.0,8.0,40,7,
2013,Indiana,7.0,7.0,8,1,
2013,Iona,0.0,7.0,98,15,
2013,Iowa St.,12.0,11.0,45,10,
2013,James Madison,1.0,2.0,182,16,
2013,Kansas,41.0,15.0,5,1,
2013,Kansas St.,12.0,10.0,20,4,
2013,LIU Brooklyn,0.0,2.0,179,16,
2013,La Salle,2.0,1.0,46,13,
2013,Liberty,1.0,3.0,287,16,
2013,Louisville,22.0,10.0,3,1,
2013,Marquette,12.0,12.0,13,3,
2013,Memphis,10.0,9.0,12,6,
2013,Miami FL,12.0,7.0,4,2,
2013,Michigan,26.0,12.0,21,4,
2013,Michigan St.,35.0,16.0,9,3,
2013,Middle Tennessee,2.0,2.0,28,11,
2013,Minnesota,2.0,5.0,34,11,
2013,Mississippi,3.0,4.0,48,12,
2013,Missouri,5.0,9.0,36,9,
2013,Montana,0.0,6.0,74,13,
2013,New Mexico,3.0,6.0,2,3,
2013,New Mexico St.,1.0,9.0,55,13,
2013,North Carolina,41.0,13.0,17,8,
2013,North Carolina A&T,0.0,1.0,213,16,
2013,North Carolina St.,8.0,7.0,33,8,
2013,Northwestern St.,0.0,1.0,78,14,
2013,Notre Dame,10.0,9.0,35,7,
2013,Ohio St.,15.0,11.0,10,2,
2013,Oklahoma,12.0,10.0,39,10,
2013,Oklahoma St.,2.0,7.0,27,5,
2013,Oregon,17.0,10.0,47,12,
2013,Pacific,0.0,1.0,97,15,
2013,Pittsburgh,8.0,8.0,43,8,
2013,Saint Louis,3.0,4.0,16,4,
2013,Saint Mary's,6.0,10.0,29,11,
2013,San Diego St.,13.0,11.0,30,7,
2013,South Dakota St.,0.0,7.0,62,13,
2013,Southern,0.0,1.0,180,16,
2013,Syracuse,21.0,10.0,14,4,
2013,Temple,2.0,7.0,41,9,
2013,UCLA,21.0,11.0,26,6,
2013,UNLV,1.0,5.0,23,5,
2013,VCU,7.0,12.0,24,5,
2013,Valparaiso,0.0,2.0,58,14,
2013,Villanova,29.0,11.0,52,9,
2013,Western Kentucky,3.0,5.0,150,16,
2013,Wichita St.,9.0,7.0,37,9,
2013,Wisconsin,24.0,15.0,32,5,
2014,Albany,0.0,3.0,185,16,
2014,American,0.0,3.0,118,15,
2014,Arizona,21.0,13.0,2,1,
2014,Arizona St.,1.0,4.0,44,10,
2014,BYU,5.0,9.0,31,10,
2014,Baylor,21.0,12.0,30,6,
